,lab,local_path,wav_name,wav_path
0,Lab1,data/Lab1/1.wav,1.wav,https://people.bu.edu/timothyg/song_website/WAV/1.wav
1,Lab1,data/Lab1/2.wav,2.wav,https://people.bu.edu/timothyg/song_website/WAV/2.wav
2,Lab1,data/Lab1/3.wav,3.wav,https://people.bu.edu/timothyg/song_website/WAV/3.wav
3,Lab1,data/Lab1/4.wav,4.wav,https://people.bu.edu/timothyg/song_website/WAV/4.wav
4,Lab1,data/Lab1/5.wav,5.wav,https://people.bu.edu/timothyg/song_website/WAV/5.wav
5,Lab1,data/Lab1/6.wav,6.wav,https://people.bu.edu/timothyg/song_website/WAV/6.wav
6,Lab1,data/Lab1/7.wav,7.wav,https://people.bu.edu/timothyg/song_website/WAV/7.wav
7,Lab1,data/Lab1/8.wav,8.wav,https://people.bu.edu/timothyg/song_website/WAV/8.wav
8,Lab1,data/Lab1/9.wav,9.wav,https://people.bu.edu/timothyg/song_website/WAV/9.wav
9,Lab1,data/Lab1/10.wav,10.wav,https://people.bu.edu/timothyg/song_website/WAV/10.wav
10,Lab1,data/Lab1/11.wav,11.wav,https://people.bu.edu/timothyg/song_website/WAV/11.wav
11,Lab1,data/Lab1/12.wav,12.wav,https://people.bu.edu/timothyg/song_website/WAV/12.wav
12,Lab1,data/Lab1/13.wav,13.wav,https://people.bu.edu/timothyg/song_website/WAV/13.wav
13,Lab1,data/Lab1/14.wav,14.wav,https://people.bu.edu/timothyg/song_website/WAV/14.wav
14,Lab1,data/Lab1/15.wav,15.wav,https://people.bu.edu/timothyg/song_website/WAV/15.wav
15,Lab1,data/Lab1/16.wav,16.wav,https://people.bu.edu/timothyg/song_website/WAV/16.wav
16,Lab1,data/Lab1/17.wav,17.wav,https://people.bu.edu/timothyg/song_website/WAV/17.wav
17,Lab1,data/Lab1/18.wav,18.wav,https://people.bu.edu/timothyg/song_website/WAV/18.wav
18,Lab1,data/Lab1/19.wav,19.wav,https://people.bu.edu/timothyg/song_website/WAV/19.wav
19,Lab2,data/Lab2/20.wav,20.wav,https://people.bu.edu/timothyg/song_website/WAV/20.wav
20,Lab2,data/Lab2/21.wav,21.wav,https://people.bu.edu/timothyg/song_website/WAV/21.wav
21,Lab2,data/Lab2/22.wav,22.wav,https://people.bu.edu/timothyg/song_website/WAV/22.wav
22,Lab2,data/Lab2/23.wav,23.wav,https://people.bu.edu/timothyg/song_website/WAV/23.wav
23,Lab2,data/Lab2/24.wav,24.wav,https://people.bu.edu/timothyg/song_website/WAV/24.wav
24,Lab2,data/Lab2/25.wav,25.wav,https://people.bu.edu/timothyg/song_website/WAV/25.wav
25,Lab2,data/Lab2/26.wav,26.wav,https://people.bu.edu/timothyg/song_website/WAV/26.wav
26,Lab2,data/Lab2/27.wav,27.wav,https://people.bu.edu/timothyg/song_website/WAV/27.wav
27,Lab2,data/Lab2/28.wav,28.wav,https://people.bu.edu/timothyg/song_website/WAV/28.wav
28,Lab2,data/Lab2/29.wav,29.wav,https://people.bu.edu/timothyg/song_website/WAV/29.wav
29,Lab2,data/Lab2/30.wav,30.wav,https://people.bu.edu/timothyg/song_website/WAV/30.wav
30,Lab2,data/Lab2/31.wav,31.wav,https://people.bu.edu/timothyg/song_website/WAV/31.wav
31,Lab2,data/Lab2/32.wav,32.wav,https://people.bu.edu/timothyg/song_website/WAV/32.wav
32,Lab2,data/Lab2/33.wav,33.wav,https://people.bu.edu/timothyg/song_website/WAV/33.wav
33,Lab2,data/Lab2/34.wav,34.wav,https://people.bu.edu/timothyg/song_website/WAV/34.wav
34,Lab2,data/Lab2/35.wav,35.wav,https://people.bu.edu/timothyg/song_website/WAV/35.wav
35,Lab2,data/Lab2/36.wav,36.wav,https://people.bu.edu/timothyg/song_website/WAV/36.wav
36,Lab2,data/Lab2/37.wav,37.wav,https://people.bu.edu/timothyg/song_website/WAV/37.wav
37,Lab2,data/Lab2/38.wav,38.wav,https://people.bu.edu/timothyg/song_website/WAV/38.wav
38,Lab2,data/Lab2/39.wav,39.wav,https://people.bu.edu/timothyg/song_website/WAV/39.wav
39,Lab2,data/Lab2/40.wav,40.wav,https://people.bu.edu/timothyg/song_website/WAV/40.wav
40,Lab2,data/Lab2/41.wav,41.wav,https://people.bu.edu/timothyg/song_website/WAV/41.wav
41,Lab2,data/Lab2/42.wav,42.wav,https://people.bu.edu/timothyg/song_website/WAV/42.wav
42,Lab2,data/Lab2/43.wav,43.wav,https://people.bu.edu/timothyg/song_website/WAV/43.wav
43,Lab2,data/Lab2/44.wav,44.wav,https://people.bu.edu/timothyg/song_website/WAV/44.wav
44,Lab2,data/Lab2/45.wav,45.wav,https://people.bu.edu/timothyg/song_website/WAV/45.wav
45,Lab2,data/Lab2/46.wav,46.wav,https://people.bu.edu/timothyg/song_website/WAV/46.wav
46,Lab2,data/Lab2/47.wav,47.wav,https://people.bu.edu/timothyg/song_website/WAV/47.wav
47,Lab2,data/Lab2/48.wav,48.wav,https://people.bu.edu/timothyg/song_website/WAV/48.wav
48,Lab2,data/Lab2/49.wav,49.wav,https://people.bu.edu/timothyg/song_website/WAV/49.wav
49,Lab2,data/Lab2/50.wav,50.wav,https://people.bu.edu/timothyg/song_website/WAV/50.wav
50,Lab2,data/Lab2/51.wav,51.wav,https://people.bu.edu/timothyg/song_website/WAV/51.wav
51,Lab2,data/Lab2/52.wav,52.wav,https://people.bu.edu/timothyg/song_website/WAV/52.wav
52,Lab2,data/Lab2/53.wav,53.wav,https://people.bu.edu/timothyg/song_website/WAV/53.wav
53,Lab2,data/Lab2/54.wav,54.wav,https://people.bu.edu/timothyg/song_website/WAV/54.wav
54,Lab2,data/Lab2/55.wav,55.wav,https://people.bu.edu/timothyg/song_website/WAV/55.wav
55,Lab2,data/Lab2/56.wav,56.wav,https://people.bu.edu/timothyg/song_website/WAV/56.wav
56,Lab2,data/Lab2/57.wav,57.wav,https://people.bu.edu/timothyg/song_website/WAV/57.wav
57,Lab2,data/Lab2/58.wav,58.wav,https://people.bu.edu/timothyg/song_website/WAV/58.wav
58,Lab2,data/Lab2/59.wav,59.wav,https://people.bu.edu/timothyg/song_website/WAV/59.wav
59,Lab2,data/Lab2/60.wav,60.wav,https://people.bu.edu/timothyg/song_website/WAV/60.wav
60,Lab2,data/Lab2/61.wav,61.wav,https://people.bu.edu/timothyg/song_website/WAV/61.wav
61,Lab2,data/Lab2/62.wav,62.wav,https://people.bu.edu/timothyg/song_website/WAV/62.wav
62,Lab2,data/Lab2/63.wav,63.wav,https://people.bu.edu/timothyg/song_website/WAV/63.wav
63,Lab2,data/Lab2/64.wav,64.wav,https://people.bu.edu/timothyg/song_website/WAV/64.wav
64,Lab3,data/Lab3/65.wav,65.wav,https://people.bu.edu/timothyg/song_website/WAV/65.wav
65,Lab3,data/Lab3/66.wav,66.wav,https://people.bu.edu/timothyg/song_website/WAV/66.wav
66,Lab3,data/Lab3/67.wav,67.wav,https://people.bu.edu/timothyg/song_website/WAV/67.wav
